time,Baseline,Direct Mail,Newspaper,Online,Radio,TV
"Aug 12, 2007",36145774,4939526,6495085,4858756,5078235,1804931
"Aug 19, 2007",36548112,1743789,4445127,3097180,3855659,657992
"Aug 26, 2007",33384007,4902700,7839881,3526658,3294933,4110663
"Sep 2, 2007",36211719,4941648,13429925,4580545,8535211,6894841
"Sep 9, 2007",33826059,1149783,8448748,4912540,3586066,4001883
"Sep 16, 2007",32242263,4933469,7484680,14966834,2234208,3352411
"Sep 23, 2007",29920264,777369,7706098,14118437,2612825,1796578
"Sep 30, 2007",35278376,3440456,8354589,12477774,2029653,3157966
"Oct 7, 2007",36576073,2702653,13785930,4092794,1762026,4857917
"Oct 14, 2007",38195003,184758,10838050,6709226,4340878,4136251
"Oct 21, 2007",36480432,2827016,7413686,5161915,1579238,1440664
"Oct 28, 2007",43963224,1037214,8837667,7677195,1759065,680895
"Nov 4, 2007",41696612,4740032,9939242,8626190,3027105,2027925
"Nov 11, 2007",63108228,4681761,12548219,10898753,4414363,6189346
"Nov 18, 2007",67821771,4710677,14265502,10738001,1972994,6808412
"Nov 25, 2007",80557222,4902166,16134353,9896897,2062260,5490318
"Dec 2, 2007",96971189,5120649,13301014,6753488,3808862,5488540
"Dec 9, 2007",92184310,5488295,15260948,9256689,3210938,6325694
"Dec 16, 2007",157376458,4704397,20617251,11445556,8587835,9300510
"Dec 23, 2007",93301539,4678551,15172823,6940912,9239381,9823655
"Dec 30, 2007",47506544,2383417,7295722,10231254,2896518,7481243
"Jan 6, 2008",31404982,437,1788415,9024057,1876748,2467567
"Jan 13, 2008",26579506,14673,2974750,11017463,4057339,731281
"Jan 20, 2008",27303419,1542252,4633254,10527941,4442396,284274
"Jan 27, 2008",28777927,86042,5032139,3934923,2628784,534139
"Feb 3, 2008",31846800,855060,12572117,3710807,3291632,182833
"Feb 10, 2008",27160254,4844982,19440510,12889427,2102156,2056697
"Feb 17, 2008",22887341,5269884,17380918,4225227,5663129,4737060
"Feb 24, 2008",27667322,13372,5425708,4155898,3928825,1509575
"Mar 2, 2008",33386482,2838605,7525718,4196810,1738534,656358
"Mar 9, 2008",35671381,1286524,10744111,1396615,2607299,390239
"Mar 16, 2008",29382715,5123760,14397056,5803351,5045941,4865193
"Mar 23, 2008",14833018,5772061,12203921,1917433,4342556,2494656
"Mar 30, 2008",39220552,19178,2436235,1699226,575767,1121043
"Apr 6, 2008",32242390,4494061,5954513,2434794,287534,3362681
"Apr 13, 2008",33873248,5284007,11865906,2530577,5451352,6453671
"Apr 20, 2008",28589657,795507,11641496,2046441,2844340,4054642
"Apr 27, 2008",44424335,5697391,10220264,3083313,2037210,3753509
"May 4, 2008",50688003,750405,18767914,6410883,2787997,8117673
"May 11, 2008",24895567,5015074,10124800,2932498,5681881,2527288
"May 18, 2008",34621640,1808752,10802395,2897548,3299788,4100223
"May 25, 2008",28345334,6354963,15376405,2433192,3936152,2689749
"Jun 1, 2008",29961022,5972037,14299818,1945720,2024110,2413534
"Jun 8, 2008",51191886,2166314,14416074,2442840,10671663,6962850
"Jun 15, 2008",44150135,2029593,2414378,1937837,2095976,2212644
"Jun 22, 2008",39953448,3276461,2355516,1938413,4054921,1060904
"Jun 29, 2008",42747144,268787,10353708,4162927,1328571,2830435
"Jul 6, 2008",36032486,89135,7243804,2706524,4398418,4405293
"Jul 13, 2008",30500684,5684172,3038932,2013465,439842,1339876
"Jul 20, 2008",39482951,1513307,1742083,1810359,43984,496627
"Jul 27, 2008",36454623,464,5294363,1903329,657238,225047
"Aug 3, 2008",36857779,476177,6513310,1905696,3568352,188968
"Aug 10, 2008",39825142,4743204,5946112,2121482,3904972,1702873
"Aug 17, 2008",36490740,1954923,4170501,1978495,528213,506468
"Aug 24, 2008",29689171,4925477,8317388,1919184,3383894,2829697
